Order Date Time,Product Name,Customer Name,Quantity,Region
2/5/2023 10:16,Anesthesia Machine,Paul Diagnostics,85,EMEA
5/13/2022 9:38,MRI Scanner,Kaiser Permanente,84,AMER
1/5/2023 0:41,Ultrasound System,Shawn Sons Hospital,93,EMEA
7/23/2022 22:18,Ultrasound System,Metro Hospital Center,54,APAC
10/31/2022 8:58,Lumify Transducer,Paul Diagnostics,36,EMEA
8/28/2022 10:20,Azurion System,California Medical Center,61,EMEA
10/25/2022 13:47,Lumify Transducer,Richards Care,61,APAC
7/31/2022 4:46,MRI Scanner,North General Hospital,97,EMEA
6/28/2022 5:59,Anesthesia Machine,Fortis Healthcare,65,EMEA
8/18/2022 4:06,CT Scanner,Alexandria Hospital,21,APAC
5/29/2022 7:00,Azurion System,Fortis Healthcare,46,APAC
9/12/2022 16:44,Respiro Respirator,Richards Care,82,APAC
10/29/2022 18:20,Respiro Respirator,Richards Care,95,APAC
9/24/2022 6:54,Ultrasound System,Steve Nursing Home,73,EMEA
10/1/2022 11:02,MRI Scanner,Kaiser Permanente,67,AMER
12/27/2022 1:05,Lumify Transducer,Massachusetts Hospital,6,APAC
7/5/2022 9:02,Azurion System,Massachusetts Hospital,94,APAC
3/20/2022 3:04,MRI Scanner,Inova Emergency Care,76,AMER
7/4/2022 21:23,Azurion System,Baylor Scott Health,72,EMEA
8/13/2022 17:45,Respiro Respirator,UCLA Medical Center,26,EMEA
1/1/2023 8:02,Respiro Respirator,Shawn Sons Hospital,76,AMER
5/5/2022 15:20,Anesthesia Machine,Inova Emergency Care,92,APAC
4/4/2022 12:43,Lumify Transducer,Jude Medical Center,13,APAC
6/7/2022 18:11,Anesthesia Machine,Franco-USAese Hospital,71,APAC
5/10/2022 16:30,CT Scanner,Kaiser Permanente,38,APAC
9/30/2022 20:48,Lumify Transducer,Paul Diagnostics,3,AMER
9/17/2022 8:50,Azurion System,SLR Hospital Center,55,EMEA
12/28/2022 23:12,Lumify Transducer,Baylor Scott Health,100,APAC
9/2/2022 9:25,Lumify Transducer,Jude Medical Center,71,AMER
6/18/2022 12:41,CT Scanner,Cleveland Clinic,93,APAC
2/24/2023 14:34,CT Scanner,Massachusetts Hospital,3,EMEA
10/27/2022 5:41,Anesthesia Machine,Kaiser Permanente,58,EMEA
11/28/2022 14:09,Lumify Transducer,Baylor Scott Health,28,EMEA
9/10/2022 1:48,Respiro Respirator,Inova Emergency Care,14,EMEA
2/10/2023 9:08,Azurion System,Cleveland Clinic,99,AMER
5/31/2022 23:07,Anesthesia Machine,Metro Hospital Center,61,APAC
10/5/2022 13:32,Azurion System,Massachusetts Hospital,12,AMER
7/22/2022 1:40,Ultrasound System,Cleveland Clinic,65,EMEA
3/1/2023 11:59,Anesthesia Machine,Steve Nursing Home,18,AMER
12/15/2022 20:25,Ultrasound System,Shawn Sons Hospital,74,APAC
8/23/2022 14:20,Ultrasound System,Franco-USAese Hospital,60,AMER
1/31/2023 13:18,MRI Scanner,Paul Diagnostics,27,AMER
7/19/2022 14:31,Ultrasound System,UCLA Medical Center,50,EMEA
7/2/2022 10:18,Azurion System,Alexandria Hospital,82,AMER
9/14/2022 16:56,MRI Scanner,Baylor Scott Health,4,APAC
1/3/2023 7:14,MRI Scanner,Johns Hopkins Medicine,82,APAC
8/6/2022 3:29,Respiro Respirator,Cleveland Clinic,70,AMER
8/7/2022 16:17,MRI Scanner,Cleveland Clinic,50,APAC
8/19/2022 23:45,Ultrasound System,Massachusetts Hospital,61,AMER
10/5/2022 11:18,Respiro Respirator,Cleveland Clinic,97,EMEA
1/21/2023 12:46,MRI Scanner,Alexandria Hospital,59,APAC
9/10/2022 5:39,CT Scanner,Shawn Sons Hospital,7,EMEA
5/23/2022 2:47,Ultrasound System,Alexandria Hospital,96,AMER
11/8/2022 6:08,Anesthesia Machine,Fortis Healthcare,45,AMER
10/7/2022 21:37,Anesthesia Machine,Fortis Healthcare,29,EMEA
6/2/2022 7:10,Azurion System,Alexandria Hospital,77,AMER
2/23/2023 21:30,CT Scanner,Johns Hopkins Medicine,18,EMEA
11/6/2022 18:33,CT Scanner,Inova Emergency Care,48,APAC
6/4/2022 1:40,Lumify Transducer,Inova Emergency Care,59,EMEA
4/24/2022 5:05,Ultrasound System,UCLA Medical Center,74,EMEA
1/18/2023 13:10,Respiro Respirator,Baylor Scott Health,34,AMER
11/1/2022 11:04,Lumify Transducer,Metro Hospital Center,39,EMEA
8/11/2022 12:18,Anesthesia Machine,Steve Nursing Home,42,AMER
10/11/2022 19:24,Azurion System,Metro Hospital Center,20,EMEA
6/30/2022 23:52,MRI Scanner,Alexandria Hospital,88,AMER
5/29/2022 18:32,Azurion System,Paul Diagnostics,67,APAC
1/7/2023 4:31,Anesthesia Machine,Kaiser Permanente,71,AMER
10/17/2022 23:10,CT Scanner,UCLA Medical Center,63,EMEA
11/16/2022 19:41,Respiro Respirator,Mayo Clinic,100,EMEA
8/28/2022 17:02,CT Scanner,Inova Emergency Care,27,EMEA
5/25/2022 4:36,Azurion System,Shawn Sons Hospital,20,AMER
6/1/2022 1:03,Azurion System,North General Hospital,15,AMER
11/26/2022 12:41,CT Scanner,SLR Hospital Center,83,APAC
4/10/2022 7:32,Anesthesia Machine,Massachusetts Hospital,56,AMER
1/5/2023 6:17,Azurion System,Steve Nursing Home,55,APAC
10/26/2022 13:22,Lumify Transducer,Cleveland Clinic,59,EMEA
8/12/2022 13:56,Azurion System,Franco-USAese Hospital,94,AMER
5/7/2022 18:48,Azurion System,Steve Nursing Home,25,EMEA
6/12/2022 11:53,Anesthesia Machine,Metro Hospital Center,38,EMEA
9/20/2022 14:21,Lumify Transducer,Cleveland Clinic,51,APAC
11/13/2022 10:02,Lumify Transducer,Fortis Healthcare,38,AMER
7/2/2022 22:05,Respiro Respirator,Fortis Healthcare,63,EMEA
3/20/2022 18:57,Respiro Respirator,Mount Sinai Hospital,98,AMER
5/4/2022 2:27,Azurion System,Inova Emergency Care,12,AMER
3/26/2022 9:49,Anesthesia Machine,SLR Hospital Center,44,EMEA
4/12/2022 22:51,CT Scanner,Baylor Scott Health,87,EMEA
6/9/2022 18:28,Anesthesia Machine,Paul Diagnostics,39,APAC
3/14/2023 18:08,CT Scanner,SLR Hospital Center,16,AMER
5/18/2022 2:12,Ultrasound System,Metro Hospital Center,30,APAC
10/14/2022 2:59,Lumify Transducer,Paul Diagnostics,2,APAC
7/14/2022 5:28,Anesthesia Machine,Baylor Scott Health,61,AMER
6/18/2022 4:24,Lumify Transducer,Metro Hospital Center,87,EMEA
5/4/2022 8:48,Azurion System,UCLA Medical Center,94,EMEA
9/11/2022 21:02,Lumify Transducer,Inova Emergency Care,98,EMEA
3/30/2022 11:17,Lumify Transducer,Richards Care,41,AMER
2/8/2023 17:50,CT Scanner,SLR Hospital Center,65,AMER
7/26/2022 4:39,Azurion System,Richards Care,23,EMEA
4/8/2022 15:23,Respiro Respirator,Baylor Scott Health,93,APAC
12/1/2022 1:12,CT Scanner,Mount Sinai Hospital,58,APAC
10/4/2022 2:17,MRI Scanner,Metro Hospital Center,29,EMEA
9/24/2022 16:49,CT Scanner,Fortis Healthcare,66,AMER
3/5/2023 4:41,Azurion System,Jude Medical Center,32,AMER
11/26/2022 3:02,MRI Scanner,Inova Emergency Care,75,APAC
9/23/2022 11:45,Ultrasound System,Johns Hopkins Medicine,19,APAC
8/20/2022 2:34,CT Scanner,Paul Diagnostics,24,AMER
2/5/2023 15:52,Azurion System,Mayo Clinic,51,EMEA
1/22/2023 2:55,MRI Scanner,Steve Nursing Home,87,AMER
